YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1880,9.8,10.1,10.6,12.7,15.2,14.7,15.7,15.9,15.8,16,13.4,12.9
1881,13.3,14,13.3,15.2,15,15.5,16.2,15.7,15.9,14.4,13.5,11.5
1882,10.6,10.2,12.8,12.5,14.7,15.2,16,15.5,15.9,15.6,12.6,12.3
1883,9.3,10.1,12.9,12.6,15,16.8,16.2,15.7,17.9,15,13.2,11.3
1884,11.3,11.3,13.4,14,15.8,16.3,16.9,16.1,15.8,14.9,14.8,12.6
1885,11.6,13.7,14.9,15.2,15.3,15.2,17.2,16,17.1,16.4,15.3,13.2
1886,11.8,14.5,12.7,14,15.6,15.7,16.4,16,17,15,14.4,13.3
1887,12.6,9.9,13.9,14.1,14.8,16.1,14.5,15.1,17.3,18.6,14.4,12.5
1888,9.5,13.2,12.9,15,14.6,17.8,17.2,16.9,17.9,17.3,15,13.2
1889,11.6,13.4,15.1,15.9,16,16.6,15.8,16.7,19,17.4,15.9,12.1
1890,9.3,10.7,13.2,13.7,16.5,16,16.3,17.3,16.7,17.7,16.1,11.3
1891,12.6,11.9,13.9,12.9,14.3,16.6,16.1,17.5,17.4,16.2,15.9,11.2
1892,12.3,12.5,13.4,12.8,15.5,14.7,15.4,16.2,16.5,16.2,14.9,12
1893,9.9,11.4,11.8,12.4,14.3,14.5,14.5,14.6,16,15,14.2,12.7
1894,10.1,10.3,11.4,13.9,14.1,14.2,14.4,16,18.3,16.2,16.3,11.2
1895,10.6,13.3,12.3,13.7,15.3,15.8,15.5,15.6,16.8,15.7,14.5,10.6
1896,12.6,14.2,13.5,11.9,14.6,14.9,16.1,16.2,16.2,15.7,13,12.9
1897,10.6,11.6,10.5,15.2,15.2,15.9,15.4,15,16.9,15.5,12.8,11.8
1898,9.5,12.7,11.8,13.5,12.5,15.9,14.3,14.8,15.9,17,14.1,11.2
1899,13,12.1,12.3,13.6,12.5,14.8,14.2,15.5,15.4,16,14.9,11.2
1900,11.8,13.2,14,13.3,15,15.2,15.4,16.3,18.3,15.7,14.6,11.5
1901,11.3,12.4,14.3,12,13.3,14.7,14,14.5,15.6,17.4,15.1,13
1902,9.5,12.8,12,13.5,14.2,14.8,16,16.8,17.5,16,13.8,11.7
1903,10.2,10.6,12.3,13.3,14,15.7,14.9,15.2,17,17.5,14.8,12.7
1904,11.7,11.7,12.1,14.8,16.1,16,14.8,14.9,18.7,17.5,15.5,11.7
1905,12.1,13.4,15,14.6,14.2,14.3,16.2,15.6,16.7,16.6,14.5,11.8
1906,12.3,14.1,13.3,14.6,14.5,16.2,15.1,15.3,16.4,17.3,14.1,11.2
1907,9.8,13.9,11.7,14.8,14.7,14.9,15.3,16.1,16.8,16.7,15.4,12.7
1908,11.8,11.7,13.8,14.6,14.1,13.9,14.9,15,16.7,15.7,14.1,9.7
1909,12.2,11.9,12.1,14.7,13.6,14.3,15.2,15,17.3,16,13.8,10.9
1910,9.4,11.4,13.8,15,15.9,14.2,14.4,14.5,15.1,17,13.8,13
1911,11.9,10.8,13.5,13,14.2,13.7,14.4,14.5,15.8,16.3,14.6,11.7
1912,11.8,13.2,11.8,12,14.5,16.1,14.7,15.8,17.7,15.8,14.2,11.7
1913,9.3,11.9,11.9,13.4,14.2,14.9,16.2,17.1,18.4,16.6,13.4,11.1
1914,11.6,12.8,15.2,15,13.9,14,14.2,14.9,16.3,16.9,15.5,10.1
